transaction_id,amount,transaction_type,merchant_risk_score,account_age_days,transactions_last_24h,failed_attempts_24h,device_trust_score,location_mismatch,international,hour,distance_from_home_km,previous_chargebacks,is_fraud
TXN100091,134.49,POS,0.819,1499,5,0,0.856,0,0,3,28.55,0,0
TXN100092,97.19,POS,0.112,3143,4,0,0.66,0,0,11,20.3,1,0
TXN100093,137.04,POS,0.606,2554,1,1,0.101,0,0,14,20.9,0,0
TXN100094,27.46,POS,0.799,1862,3,1,0.843,1,0,8,34.95,0,0
TXN100095,34.91,Bank Transfer,0.808,1998,4,0,0.348,0,0,14,18.17,1,0
TXN100096,39.54,Online,0.091,853,2,0,0.11,0,0,13,5.13,0,0
TXN100097,54.75,ATM,0.225,3208,5,1,0.172,0,0,2,23.2,0,1
TXN100098,221.36,Online,0.413,245,5,1,0.599,0,1,20,19.36,0,0
TXN100099,60.01,POS,0.252,209,4,0,0.264,0,0,11,41.01,0,0
TXN100100,101.68,POS,0.109,2868,1,0,0.666,0,0,3,39.11,0,0
TXN100101,544.15,Bank Transfer,0.629,126,6,0,0.87,0,0,3,62.55,0,1
TXN100102,103.93,Online,0.507,1873,4,0,0.468,0,0,9,15.51,0,0
TXN100103,310.29,Bank Transfer,0.155,712,4,0,0.884,0,0,18,51.3,0,0
TXN100104,58.35,POS,0.586,2495,2,0,0.292,0,1,16,10.64,0,0
TXN100105,120.85,Online,0.062,459,4,0,0.677,0,0,15,39.9,0,0
TXN100106,57.4,ATM,0.383,988,4,0,0.903,0,0,23,12.12,0,0
TXN100107,105.74,Bank Transfer,0.793,1933,3,0,0.595,0,0,21,10.46,0,0
TXN100108,343.89,POS,0.89,1397,5,1,0.802,0,0,2,26.6,0,1
TXN100109,26.38,Bank Transfer,0.245,754,1,0,0.645,0,0,17,11.77,0,0
TXN100110,229.16,Online,0.86,255,1,0,0.244,0,0,12,24.29,0,0
TXN100111,188.24,ATM,0.892,88,3,1,0.927,0,0,15,30.6,0,0
TXN100112,81.93,Online,0.607,724,2,0,0.284,0,0,20,7.94,0,0
TXN100113,34.95,Online,0.982,1053,3,0,0.807,0,0,15,6.72,0,0
TXN100114,159.51,POS,0.246,463,2,1,0.184,0,0,15,22.45,0,0
TXN100115,87.4,ATM,0.069,1873,5,1,0.54,0,0,12,17.13,0,0
TXN100116,187.29,POS,0.843,3236,1,1,0.624,0,0,7,26.4,1,0
TXN100117,151.69,Online,0.491,2615,2,0,0.708,1,0,20,55.54,0,0
TXN100118,736.4,Online,0.346,1141,2,0,0.732,0,0,0,101.75,0,0
TXN100119,116.82,ATM,0.055,1616,2,0,0.15,0,1,10,56.21,0,1
TXN100120,53.33,Online,0.065,2815,3,0,0.391,0,0,16,27.82,0,0
TXN100121,177.55,Online,0.091,3515,1,0,0.701,0,0,13,38.19,0,0
TXN100122,184.93,Online,0.184,2026,3,0,0.437,0,0,15,24.49,0,0
TXN100123,577.78,Online,0.97,752,5,0,0.502,0,0,19,37.09,0,0
TXN100124,342.1,Online,0.281,3170,2,0,0.188,0,0,10,21.54,0,1
TXN100125,212.06,Online,0.817,1890,2,1,0.64,0,0,19,30.09,0,0
TXN100126,641.18,ATM,0.019,137,5,1,0.395,0,0,14,11.78,0,0
TXN100127,45.21,Online,0.322,946,1,1,0.202,0,0,11,15.54,0,0
TXN100128,78.28,POS,0.906,1958,5,0,0.554,0,0,6,23.07,0,0
TXN100129,58.76,Online,0.185,2950,6,0,0.462,0,0,20,54.22,0,0
TXN100130,100.5,POS,0.284,3114,4,0,0.667,0,0,16,25.02,0,0
TXN100131,37.46,POS,0.827,709,1,2,0.306,0,0,13,24.73,0,0
TXN100132,280.1,ATM,0.121,2646,2,0,0.237,0,0,20,28.07,0,0
TXN100133,118.84,Online,0.053,3510,1,0,0.408,0,1,9,22.54,0,0
TXN100134,34.1,Online,0.966,2921,2,0,0.927,0,0,13,34.71,0,0
TXN100135,53.75,Bank Transfer,0.405,2624,5,0,0.293,0,0,23,28.51,0,0
TXN100136,203.06,POS,0.658,2911,4,0,0.366,0,0,22,22.45,0,1
TXN100137,343.14,POS,0.127,2045,6,1,0.806,0,0,16,33.12,0,0
TXN100138,1093.05,POS,0.22,2225,4,0,0.784,0,0,21,20.72,1,0
TXN100139,2734.93,POS,0.46,1957,4,0,0.455,0,0,8,23.27,0,0
TXN100140,224.62,ATM,0.675,3489,2,0,0.83,1,1,20,72.92,0,0
TXN100141,55.17,ATM,0.293,1342,2,0,0.773,0,0,8,19.41,0,0
TXN100142,17.6,Online,0.885,2841,2,0,0.356,0,0,9,19.07,0,0
TXN100143,193.97,POS,0.781,106,3,0,0.659,0,0,22,4.86,0,0
TXN100144,65.83,Online,0.552,1545,5,0,0.335,0,0,21,15.55,0,0
TXN100145,97.97,POS,0.459,3342,4,0,0.569,0,0,7,21.84,1,0
TXN100146,80.47,Online,0.62,910,3,0,0.499,0,0,16,17.79,0,0
TXN100147,128.92,Online,0.732,2907,6,0,0.529,0,0,13,31.38,0,0
TXN100148,430.94,POS,0.135,1848,3,0,0.959,0,0,21,15.2,0,0
TXN100149,173.65,ATM,0.853,518,4,0,0.813,1,0,6,39.62,0,0
TXN100150,126.64,ATM,0.489,415,3,0,0.657,0,0,16,5.6,0,0
TXN100151,52.69,POS,0.935,471,6,1,0.146,1,0,16,14.45,1,0
TXN100152,27.81,Online,0.956,1714,2,2,0.215,0,1,18,25.54,0,1
TXN100153,91.26,Online,0.031,1145,5,0,0.676,0,0,12,24.14,0,0
TXN100154,140.64,POS,0.384,3268,4,0,0.927,0,0,20,26.19,1,0
TXN100155,869.51,POS,0.526,2792,3,0,0.144,0,0,10,2.23,0,1
TXN100156,169.06,Online,0.54,547,2,0,0.991,0,1,21,30.23,1,0
TXN100157,396.53,Bank Transfer,0.822,1851,4,0,0.524,0,0,18,16.96,1,0
TXN100158,90.08,Online,0.141,2802,4,0,0.443,0,0,14,28.94,0,1
TXN100159,45.38,Online,0.622,2398,1,0,0.714,0,0,5,29.9,0,0
TXN100160,56.54,Online,0.943,63,4,0,0.991,0,0,11,73.57,0,0
TXN100161,71.86,Online,0.997,52,2,1,0.284,0,0,20,27.62,0,0
TXN100162,1246.97,POS,0.01,2143,3,0,0.967,0,0,12,80.12,0,0
TXN100163,65.28,Online,0.973,3373,3,2,0.212,0,0,1,17.28,0,1
TXN100164,343.26,Bank Transfer,0.122,212,7,1,0.829,0,0,16,44.0,1,0
TXN100165,60.16,ATM,0.537,629,1,0,0.733,0,0,3,8.41,0,0
TXN100166,376.75,Bank Transfer,0.246,712,2,0,0.539,0,0,3,22.99,0,0
TXN100167,218.1,POS,0.606,1184,0,0,0.592,0,0,13,40.4,0,0
TXN100168,126.9,Online,0.037,3253,2,1,0.979,0,0,0,21.27,0,0
TXN100169,142.49,Online,,3458,2,1,0.789,0,0,11,,0,0
TXN100170,77.11,POS,0.301,1139,1,0,0.991,0,1,8,4.92,0,0
TXN100171,231.85,POS,0.916,2683,6,0,0.202,0,0,10,15.54,0,0
TXN100172,94.16,ATM,0.584,66,4,0,0.457,1,0,2,15.66,0,1
TXN100173,43.57,Online,0.708,1880,6,0,0.324,0,0,23,7.32,0,0
TXN100174,41.35,Online,0.676,2302,0,0,0.394,0,0,1,14.04,0,1
TXN100175,176.37,POS,0.392,3153,2,0,0.97,0,0,6,11.74,1,0
TXN100176,719.88,Online,0.014,3004,6,0,0.599,0,0,19,25.52,0,0
TXN100177,174.16,POS,0.107,251,3,0,0.85,0,0,15,26.4,0,0
TXN100178,131.81,POS,0.459,1525,1,0,0.108,0,0,8,41.77,0,1
TXN100179,197.52,Online,0.941,306,1,0,0.57,0,0,13,36.53,0,0
TXN100180,547.85,POS,0.249,64,3,0,0.961,0,1,12,22.52,0,0
TXN100181,184.82,Bank Transfer,0.698,591,5,0,0.407,0,0,5,119.06,0,0
TXN100182,98.4,Online,0.827,3407,3,1,0.545,0,0,10,39.69,1,1
TXN100183,448.67,POS,0.907,987,6,0,0.37,0,0,13,104.22,0,1
TXN100184,227.87,POS,0.293,2707,1,0,0.74,0,0,7,4.01,1,0
TXN100185,689.35,ATM,0.931,2596,2,1,0.108,0,0,23,2.16,1,1
TXN100186,178.26,POS,0.608,3170,2,0,0.613,0,0,5,30.29,0,0
TXN100187,43.62,POS,0.508,1957,1,1,0.2,0,0,4,31.01,0,0
TXN100188,37.78,Online,0.778,3560,1,0,0.508,0,0,8,15.84,0,0
TXN100189,773.5,POS,0.239,1572,4,0,0.554,0,1,4,15.48,0,0
TXN100190,831.86,Online,0.813,2880,1,0,0.467,0,0,5,24.91,0,0
TXN100191,124.02,Online,0.65,2862,6,0,0.146,0,0,6,7.17,0,0
TXN100192,101.17,POS,0.799,1997,3,0,0.602,0,0,4,58.6,0,0
TXN100193,639.98,ATM,0.856,1178,1,0,0.326,0,0,12,31.17,0,1
TXN100194,49.06,Online,0.617,605,3,0,0.497,0,0,21,43.18,0,0
TXN100195,60.66,Online,0.037,339,1,0,0.182,0,0,11,12.12,0,0
TXN100196,282.4,POS,0.298,1837,1,0,0.247,0,1,10,13.22,0,1
TXN100197,100.02,Online,0.878,1466,3,1,0.654,0,0,18,31.52,0,0
TXN100198,147.65,POS,0.627,787,2,3,0.994,0,0,14,26.11,0,0
TXN100199,126.03,Online,0.89,2804,5,0,0.983,0,1,22,48.13,0,1
TXN100200,208.01,POS,0.385,618,4,0,0.203,0,0,14,,0,1
TXN100201,606.36,Bank Transfer,0.505,1746,4,0,0.622,0,0,16,36.33,0,0
TXN100202,162.48,POS,0.863,1582,3,0,0.913,0,0,17,19.86,0,0
TXN100203,282.57,Bank Transfer,0.762,3567,3,1,0.459,0,0,13,74.75,0,0
TXN100204,19.1,Bank Transfer,0.378,407,2,1,0.824,0,0,7,10.73,0,0
TXN100205,141.36,Online,0.023,3129,5,0,0.228,0,0,2,,0,0
TXN100206,63.86,POS,0.88,2507,1,0,0.987,0,0,0,9.54,0,0
TXN100207,43.87,Online,0.786,2893,5,1,0.679,0,0,5,38.6,0,0
TXN100208,61.67,Bank Transfer,0.449,2845,4,1,0.656,0,0,3,59.73,0,0
TXN100209,106.26,Online,0.546,2828,3,0,0.623,0,0,18,14.19,0,0
TXN100210,370.89,Online,0.204,1605,2,0,0.912,1,0,20,47.51,0,0
TXN100211,39.39,POS,0.412,2133,2,0,0.378,0,0,14,24.65,0,0
TXN100212,153.03,ATM,0.163,1350,2,1,0.292,0,0,3,34.89,0,0
TXN100213,91.45,POS,0.211,3292,4,0,0.581,0,0,0,18.48,0,0
TXN100214,106.95,POS,0.846,846,5,0,0.986,0,0,22,7.28,0,0
TXN100215,404.54,POS,0.362,2165,3,1,0.985,0,0,15,52.82,0,0
TXN100216,254.2,Online,0.815,793,5,0,0.182,0,0,15,39.59,0,0
TXN100217,565.32,Bank Transfer,0.474,1378,4,0,0.143,0,0,10,42.49,0,0
TXN100218,127.17,ATM,0.071,3516,5,0,0.827,0,0,17,38.41,0,0
TXN100219,74.0,POS,0.362,739,2,0,0.679,0,0,19,28.21,0,0
TXN100220,118.65,POS,0.158,3237,3,1,0.663,0,0,9,18.37,0,1
TXN100221,189.14,ATM,0.694,2973,4,2,0.729,0,0,9,59.96,0,1
TXN100222,177.07,Online,0.911,1355,3,1,0.128,1,0,15,17.56,0,1
TXN100223,50.18,POS,0.763,1373,4,0,0.469,0,0,12,11.4,0,0
TXN100224,162.47,Online,0.778,50,4,0,0.532,0,0,7,22.9,0,0
TXN100225,186.46,Online,0.862,2893,3,0,0.693,0,1,14,11.25,0,1
TXN100226,1839.91,Bank Transfer,0.777,2441,2,2,0.622,0,0,21,40.0,0,0
TXN100227,969.56,Online,0.569,3588,8,0,0.78,0,1,14,40.65,0,0
TXN100228,63.23,POS,0.714,1085,2,0,0.588,0,0,16,31.67,0,0
TXN100229,111.34,Online,0.416,1473,0,1,0.669,0,0,22,40.1,0,0
TXN100230,34.35,POS,0.071,2515,3,0,0.105,0,0,21,62.5,0,0
TXN100231,82.21,Bank Transfer,0.706,1263,2,1,0.673,0,0,11,34.44,0,0
TXN100232,203.49,Online,0.722,1183,1,0,0.56,0,0,6,37.95,0,0
TXN100233,495.64,POS,0.224,645,3,0,0.472,0,0,19,21.68,0,0
TXN100234,71.59,Online,0.954,3606,6,0,0.727,0,0,13,19.19,0,0
TXN100235,77.16,POS,0.053,1750,2,1,,0,0,19,13.82,0,0
TXN100236,17.33,POS,0.736,2815,3,0,0.792,1,0,16,17.9,0,0
TXN100237,126.13,Online,0.968,2397,4,0,0.898,0,0,19,26.63,0,0
TXN100238,51.29,ATM,0.309,2199,3,1,0.202,0,1,19,21.38,0,0
TXN100239,87.41,ATM,0.912,1162,4,1,0.419,0,0,1,14.33,0,0
TXN100240,61.75,Online,0.826,1171,4,1,0.882,1,1,8,23.72,0,0
TXN100241,135.06,POS,0.744,1788,5,3,0.156,0,0,10,23.31,0,0
TXN100242,25.59,Online,0.954,519,3,0,0.305,1,0,4,44.89,0,0
TXN100243,34.22,Online,0.654,1974,1,1,0.825,0,0,17,50.49,0,0
TXN100244,1247.94,POS,0.495,358,5,0,0.421,0,1,21,61.87,0,1
TXN100245,40.96,Bank Transfer,0.676,1026,2,0,0.405,1,1,10,6.0,0,0
TXN100246,49.56,Bank Transfer,0.412,2321,3,0,0.459,0,1,10,30.69,0,0
TXN100247,931.61,POS,,115,3,0,0.97,1,0,13,3.08,0,0
TXN100248,2710.98,ATM,0.082,192,6,0,0.152,0,0,5,23.65,0,0
TXN100249,45.99,Online,0.378,810,1,0,0.43,0,1,22,58.47,0,0
TXN100250,102.69,POS,0.803,2766,2,1,0.426,0,1,8,45.47,0,1
TXN100251,208.84,Online,0.945,2937,4,0,0.981,0,0,15,61.93,0,0
TXN100252,836.06,POS,0.975,33,2,0,0.359,0,0,20,4.6,0,1
TXN100253,55.32,POS,0.207,1036,2,0,0.95,0,0,21,37.17,0,0
TXN100254,116.13,Bank Transfer,0.571,235,5,0,0.463,0,0,3,5.68,0,0
TXN100255,322.9,Online,0.576,80,5,0,0.511,0,0,13,20.56,0,0
TXN100256,229.24,POS,0.176,3440,2,0,0.709,0,0,12,72.0,0,0
TXN100257,101.88,Online,0.582,1568,1,1,0.532,0,0,2,40.23,1,0
TXN100258,129.82,Bank Transfer,0.363,2908,5,0,0.295,0,0,15,47.03,0,0
TXN100259,37.53,Online,0.942,2500,3,1,0.856,0,0,16,31.5,0,0
TXN100260,116.96,Bank Transfer,0.255,1657,3,0,0.354,0,1,12,10.19,0,0
TXN100261,113.71,Bank Transfer,0.835,2753,4,0,0.871,0,0,12,39.37,0,0
TXN100262,187.2,POS,0.897,930,1,0,0.971,0,0,12,56.12,0,0
TXN100263,85.17,Online,0.736,1528,3,0,0.58,0,0,16,17.12,0,1
TXN100264,237.83,Online,0.215,1400,5,0,0.257,0,0,8,61.94,1,0
TXN100265,408.59,ATM,0.26,2100,3,0,0.246,0,0,16,2.46,0,0
TXN100266,173.37,POS,0.971,792,2,0,0.867,0,0,7,9.64,0,0
TXN100267,210.98,POS,0.076,2728,2,0,0.355,0,0,16,9.74,0,0
TXN100268,156.52,POS,0.117,3077,1,0,0.545,0,0,23,18.2,1,0
TXN100269,148.43,Online,,3249,5,1,0.806,0,0,18,46.46,0,0
TXN100270,72.13,ATM,0.777,3266,2,0,0.15,0,0,18,2.01,0,1
TXN100271,203.67,ATM,0.746,2346,3,1,0.49,0,0,21,47.4,0,0
TXN100272,134.65,Online,0.16,2918,4,0,0.704,0,0,6,42.35,0,0
TXN100273,1203.72,POS,0.489,2530,0,0,0.617,0,0,16,7.9,0,0
TXN100274,715.77,POS,0.841,3480,7,0,0.466,0,1,2,,0,1
TXN100275,218.29,ATM,0.329,387,2,0,0.418,0,0,11,8.68,0,0
TXN100276,69.2,Online,0.193,748,8,1,0.172,0,0,22,5.06,1,0
TXN100277,48.79,ATM,0.011,1552,6,0,0.645,0,0,14,13.22,0,0
TXN100278,488.4,POS,0.623,2277,6,0,0.152,0,0,22,4.64,0,0
TXN100279,193.01,Online,0.294,3248,1,1,0.569,0,1,15,27.07,0,1
TXN100280,239.88,Bank Transfer,0.864,372,6,0,0.22,1,1,6,12.72,0,0
TXN100281,25.93,POS,0.284,611,3,0,0.136,1,0,6,15.38,0,0
TXN100282,375.19,POS,0.152,3145,0,0,0.538,0,0,18,4.82,0,0
TXN100283,233.79,Online,0.96,1152,2,0,0.375,0,1,13,23.49,0,1
TXN100284,48.89,Online,0.965,90,1,0,0.54,0,0,14,28.71,0,0
TXN100285,92.62,Bank Transfer,0.685,2484,2,1,0.247,0,1,19,6.45,1,0
TXN100286,193.2,Bank Transfer,0.928,3207,2,0,0.97,0,0,13,23.08,0,0
TXN100287,156.41,ATM,0.162,3295,3,0,0.113,0,0,4,26.36,0,0
TXN100288,110.81,POS,0.46,3122,3,0,0.222,0,0,9,182.45,0,0
TXN100289,133.82,Online,0.204,243,6,0,0.74,0,0,3,26.74,0,0
TXN100290,115.36,Bank Transfer,0.479,518,3,0,0.937,0,0,11,59.36,0,0
TXN100291,172.87,Online,0.791,3181,2,0,0.141,0,0,18,50.46,0,1
TXN100292,646.45,Bank Transfer,0.845,2538,2,0,0.12,0,0,19,42.79,0,0
TXN100293,11.4,Online,0.004,827,4,0,0.603,0,0,23,15.73,1,0
TXN100294,117.11,POS,0.39,1433,1,0,0.497,0,0,6,47.7,0,1
TXN100295,177.06,Online,0.994,3146,1,0,0.284,0,0,13,11.72,0,1
TXN100296,199.54,Online,0.589,3392,4,0,0.219,0,0,14,10.31,0,0
TXN100297,102.32,POS,0.296,3249,3,0,0.868,0,0,7,44.33,1,0
TXN100298,25.62,POS,0.389,1696,4,0,0.212,0,0,23,56.43,0,0
TXN100299,206.02,Online,0.323,2837,4,0,0.726,0,0,17,17.49,2,1
TXN100300,834.93,POS,0.448,193,3,1,0.844,0,0,7,18.11,1,0
TXN100301,32.01,POS,0.444,3374,1,0,0.12,0,0,19,25.63,0,0
TXN100302,352.07,Online,0.507,833,3,1,0.77,0,0,8,47.89,0,0
TXN100303,106.86,ATM,0.465,3509,2,0,0.715,0,0,3,34.86,1,0
TXN100304,139.59,Online,0.516,89,3,0,0.589,0,1,14,71.0,0,0
TXN100305,51.79,Bank Transfer,0.028,3379,2,0,0.171,1,0,10,37.62,0,0
TXN100306,106.22,Bank Transfer,0.054,1937,2,0,0.917,0,0,20,1.64,0,0
TXN100307,544.6,Online,0.371,1887,1,0,0.918,0,0,18,16.45,0,0
TXN100308,265.78,POS,0.885,2479,6,0,0.407,0,0,1,18.21,0,0
TXN100309,839.08,ATM,0.791,1708,3,1,0.403,0,0,14,24.18,0,0
TXN100310,481.74,POS,0.11,3472,3,1,0.592,0,0,12,13.49,1,0
TXN100311,230.23,ATM,0.495,410,3,0,0.888,0,0,20,14.0,0,0
TXN100312,848.89,Online,0.605,2405,3,0,0.939,1,0,5,36.74,0,0
TXN100313,230.21,Online,0.481,812,4,2,0.324,0,0,5,42.31,0,0
TXN100314,339.67,Online,0.698,164,4,0,0.601,0,0,2,20.76,0,0
TXN100315,110.32,Online,0.997,2391,1,0,0.428,0,0,22,54.37,0,0
TXN100316,158.63,Bank Transfer,0.096,2483,6,0,0.296,0,0,20,17.88,0,0
TXN100317,73.89,POS,0.516,490,2,0,0.103,0,0,14,21.63,0,0
TXN100318,399.25,Bank Transfer,0.512,2661,0,0,0.364,0,0,10,14.03,0,0
TXN100319,45.68,POS,0.562,3441,3,0,0.395,0,0,6,13.63,0,0
TXN100320,324.52,ATM,0.167,2547,3,0,0.689,1,0,9,8.94,0,0
TXN100321,122.65,Bank Transfer,0.638,851,3,1,0.68,0,1,17,9.69,0,0
TXN100322,478.78,Online,0.044,336,4,0,0.981,0,0,12,4.88,0,0
TXN100323,314.46,POS,0.741,348,5,0,0.697,0,0,18,26.0,0,0
TXN100324,916.58,ATM,0.663,2269,2,0,0.238,0,0,17,27.67,1,0
